input position,input joint,output joint
"(0.43, 1.71)","(1.88, 0.86)","(1.82, 0.83)"
"(0.43, 1.71)","(1.9, 0.79)","(1.82, 0.83)"
"(0.16, 1.89)","(1.87, 1.2)","(1.82, 1.16)"
"(0.16, 1.89)","(1.84, 1.15)","(1.82, 1.16)"
"(0.16, 1.89)","(1.85, 1.06)","(1.82, 1.16)"
"(0.16, 1.89)","(1.72, 1.14)","(1.82, 1.16)"
"(0.16, 1.89)","(1.88, 1.08)","(1.82, 1.16)"
"(0.16, 1.89)","(1.88, 1.11)","(1.82, 1.16)"
"(0.16, 1.89)","(1.9, 1.1)","(1.82, 1.16)"
"(0.16, 1.89)","(1.83, 1.13)","(1.82, 1.16)"
"(0.16, 1.89)","(1.85, 1.18)","(1.82, 1.16)"
"(0.16, 1.89)","(1.86, 1.25)","(1.82, 1.16)"
