input position,input joint,output joint
"(1.97, 0.0)","(-0.14, 0.2)","(-0.17, 0.17)"
"(1.97, 0.0)","(-0.21, 0.13)","(-0.17, 0.17)"
"(1.97, 0.0)","(-0.2, 0.18)","(-0.17, 0.17)"
"(1.97, 0.0)","(-0.17, 0.14)","(-0.17, 0.17)"
"(1.97, 0.0)","(-0.18, 0.18)","(-0.17, 0.17)"
"(1.97, 0.0)","(-0.12, 0.19)","(-0.17, 0.17)"
"(1.97, 0.0)","(-0.12, 0.19)","(-0.17, 0.17)"
"(1.97, 0.0)","(-0.15, 0.14)","(-0.17, 0.17)"
"(1.97, 0.0)","(-0.16, 0.14)","(-0.17, 0.17)"
"(1.87, 0.31)","(-0.19, 0.51)","(-0.17, 0.5)"
"(1.87, 0.31)","(-0.16, 0.47)","(-0.17, 0.5)"
"(1.87, 0.31)","(-0.13, 0.47)","(-0.17, 0.5)"
"(1.87, 0.31)","(-0.2, 0.49)","(-0.17, 0.5)"
"(1.87, 0.31)","(-0.15, 0.53)","(-0.17, 0.5)"
"(1.87, 0.31)","(-0.13, 0.54)","(-0.17, 0.5)"
"(1.87, 0.31)","(-0.12, 0.5)","(-0.17, 0.5)"
"(1.87, 0.31)","(-0.16, 0.54)","(-0.17, 0.5)"
"(1.87, 0.31)","(-0.14, 0.45)","(-0.17, 0.5)"
"(1.87, 0.31)","(-0.18, 0.47)","(-0.17, 0.5)"
"(1.66, 0.57)","(-0.19, 0.79)","(-0.17, 0.83)"
"(1.66, 0.57)","(-0.15, 0.86)","(-0.17, 0.83)"
"(1.66, 0.57)","(-0.12, 0.8)","(-0.17, 0.83)"
"(1.66, 0.57)","(-0.16, 0.85)","(-0.17, 0.83)"
"(1.66, 0.57)","(-0.13, 0.78)","(-0.17, 0.83)"
"(1.66, 0.57)","(-0.2, 0.78)","(-0.17, 0.83)"
"(1.66, 0.57)","(-0.17, 0.83)","(-0.17, 0.83)"
"(1.66, 0.57)","(-0.18, 0.86)","(-0.17, 0.83)"
"(1.66, 0.57)","(-0.18, 0.84)","(-0.17, 0.83)"
"(1.66, 0.57)","(-0.15, 0.79)","(-0.17, 0.83)"
"(1.39, 0.75)","(-0.13, 1.16)","(-0.17, 1.16)"
"(1.39, 0.75)","(-0.12, 1.13)","(-0.17, 1.16)"
"(1.39, 0.75)","(-0.21, 1.15)","(-0.17, 1.16)"
"(1.39, 0.75)","(-0.19, 1.16)","(-0.17, 1.16)"
"(1.39, 0.75)","(-0.14, 1.12)","(-0.17, 1.16)"
"(1.39, 0.75)","(-0.21, 1.14)","(-0.17, 1.16)"
"(1.39, 0.75)","(-0.18, 1.12)","(-0.17, 1.16)"
"(1.39, 0.75)","(-0.2, 1.13)","(-0.17, 1.16)"
"(1.39, 0.75)","(-0.17, 1.12)","(-0.17, 1.16)"
"(1.39, 0.75)","(-0.21, 1.17)","(-0.17, 1.16)"
"(1.07, 0.83)","(-0.16, 1.49)","(-0.17, 1.49)"
"(1.07, 0.83)","(-0.14, 1.49)","(-0.17, 1.49)"
"(1.07, 0.83)","(-0.18, 1.44)","(-0.17, 1.49)"
"(1.07, 0.83)","(-0.15, 1.49)","(-0.17, 1.49)"
"(1.07, 0.83)","(-0.14, 1.48)","(-0.17, 1.49)"
"(1.07, 0.83)","(-0.15, 1.48)","(-0.17, 1.49)"
"(1.07, 0.83)","(-0.13, 1.52)","(-0.17, 1.49)"
"(1.07, 0.83)","(-0.18, 1.46)","(-0.17, 1.49)"
"(1.07, 0.83)","(-0.19, 1.48)","(-0.17, 1.49)"
"(1.07, 0.83)","(-0.12, 1.51)","(-0.17, 1.49)"
"(0.74, 0.8)","(-0.18, 1.84)","(-0.17, 1.82)"
"(0.74, 0.8)","(-0.18, 1.79)","(-0.17, 1.82)"
"(0.74, 0.8)","(-0.2, 1.77)","(-0.17, 1.82)"
"(0.74, 0.8)","(-0.17, 1.82)","(-0.17, 1.82)"
"(0.74, 0.8)","(-0.16, 1.82)","(-0.17, 1.82)"
"(0.74, 0.8)","(-0.12, 1.8)","(-0.17, 1.82)"
"(0.74, 0.8)","(-0.16, 1.77)","(-0.17, 1.82)"
"(0.74, 0.8)","(-0.19, 1.81)","(-0.17, 1.82)"
"(0.74, 0.8)","(-0.16, 1.8)","(-0.17, 1.82)"
"(0.74, 0.8)","(-0.14, 1.82)","(-0.17, 1.82)"
"(0.44, 0.67)","(-0.15, 2.16)","(-0.17, 2.15)"
"(0.44, 0.67)","(-0.15, 2.11)","(-0.17, 2.15)"
"(0.44, 0.67)","(-0.18, 2.11)","(-0.17, 2.15)"
"(0.44, 0.67)","(-0.21, 2.18)","(-0.17, 2.15)"
"(0.44, 0.67)","(-0.16, 2.1)","(-0.17, 2.15)"
"(0.44, 0.67)","(-0.12, 2.16)","(-0.17, 2.15)"
"(0.44, 0.67)","(-0.12, 2.18)","(-0.17, 2.15)"
"(0.44, 0.67)","(-0.16, 2.18)","(-0.17, 2.15)"
"(0.44, 0.67)","(-0.16, 2.1)","(-0.17, 2.15)"
"(0.44, 0.67)","(-0.16, 2.12)","(-0.17, 2.15)"
"(0.2, 0.45)","(-0.14, 2.49)","(-0.17, 2.48)"
"(0.2, 0.45)","(-0.13, 2.46)","(-0.17, 2.48)"
"(0.2, 0.45)","(-0.21, 2.48)","(-0.17, 2.48)"
"(0.2, 0.45)","(-0.18, 2.45)","(-0.17, 2.48)"
"(0.2, 0.45)","(-0.17, 2.5)","(-0.17, 2.48)"
"(0.2, 0.45)","(-0.16, 2.43)","(-0.17, 2.48)"
"(0.2, 0.45)","(-0.2, 2.46)","(-0.17, 2.48)"
"(0.2, 0.45)","(-0.17, 2.52)","(-0.17, 2.48)"
"(0.2, 0.45)","(-0.16, 2.49)","(-0.17, 2.48)"
"(0.2, 0.45)","(-0.15, 2.52)","(-0.17, 2.48)"
"(0.04, 0.16)","(-0.13, 2.77)","(-0.17, 2.81)"
"(0.04, 0.16)","(-0.12, 2.79)","(-0.17, 2.81)"
"(0.04, 0.16)","(-0.14, 2.81)","(-0.17, 2.81)"
"(0.04, 0.16)","(-0.15, 2.82)","(-0.17, 2.81)"
"(0.04, 0.16)","(-0.16, 2.82)","(-0.17, 2.81)"
"(0.04, 0.16)","(-0.13, 2.79)","(-0.17, 2.81)"
"(0.04, 0.16)","(-0.19, 2.8)","(-0.17, 2.81)"
"(0.04, 0.16)","(-0.16, 2.81)","(-0.17, 2.81)"
"(0.04, 0.16)","(-0.15, 2.79)","(-0.17, 2.81)"
"(0.04, 0.16)","(-0.12, 2.8)","(-0.17, 2.81)"
"(-0.01, -0.16)","(-0.2, 3.12)","(-0.17, 3.14)"
"(-0.01, -0.16)","(-0.19, 3.13)","(-0.17, 3.14)"
"(-0.01, -0.16)","(-0.14, 3.11)","(-0.17, 3.14)"
"(-0.01, -0.16)","(-0.2, 3.11)","(-0.17, 3.14)"
"(-0.01, -0.16)","(-0.17, 3.1)","(-0.17, 3.14)"
"(-0.01, -0.16)","(-0.19, 3.18)","(-0.17, 3.14)"
"(-0.01, -0.16)","(-0.17, 3.18)","(-0.17, 3.14)"
"(-0.01, -0.16)","(-0.17, 3.11)","(-0.17, 3.14)"
"(-0.01, -0.16)","(-0.18, 3.13)","(-0.17, 3.14)"
"(-0.01, -0.16)","(-0.2, 3.1)","(-0.17, 3.14)"
"(-0.01, 0.16)","(0.15, -3.16)","(0.17, -3.14)"
"(-0.01, 0.16)","(0.15, -3.11)","(0.17, -3.14)"
"(-0.01, 0.16)","(0.2, -3.13)","(0.17, -3.14)"
"(-0.01, 0.16)","(0.2, -3.1)","(0.17, -3.14)"
"(-0.01, 0.16)","(0.18, -3.11)","(0.17, -3.14)"
"(-0.01, 0.16)","(0.17, -3.14)","(0.17, -3.14)"
"(-0.01, 0.16)","(0.16, -3.16)","(0.17, -3.14)"
"(-0.01, 0.16)","(0.2, -3.1)","(0.17, -3.14)"
"(-0.01, 0.16)","(0.19, -3.1)","(0.17, -3.14)"
"(-0.01, 0.16)","(0.2, -3.1)","(0.17, -3.14)"
"(0.04, -0.16)","(0.13, -2.77)","(0.17, -2.81)"
"(0.04, -0.16)","(0.15, -2.81)","(0.17, -2.81)"
"(0.04, -0.16)","(0.2, -2.8)","(0.17, -2.81)"
"(0.04, -0.16)","(0.18, -2.78)","(0.17, -2.81)"
"(0.04, -0.16)","(0.15, -2.83)","(0.17, -2.81)"
"(0.04, -0.16)","(0.2, -2.85)","(0.17, -2.81)"
"(0.04, -0.16)","(0.12, -2.79)","(0.17, -2.81)"
"(0.04, -0.16)","(0.14, -2.82)","(0.17, -2.81)"
"(0.04, -0.16)","(0.13, -2.85)","(0.17, -2.81)"
"(0.04, -0.16)","(0.19, -2.8)","(0.17, -2.81)"
"(0.2, -0.45)","(0.2, -2.43)","(0.17, -2.48)"
"(0.2, -0.45)","(0.18, -2.44)","(0.17, -2.48)"
"(0.2, -0.45)","(0.13, -2.49)","(0.17, -2.48)"
"(0.2, -0.45)","(0.14, -2.45)","(0.17, -2.48)"
"(0.2, -0.45)","(0.21, -2.51)","(0.17, -2.48)"
"(0.2, -0.45)","(0.2, -2.48)","(0.17, -2.48)"
"(0.2, -0.45)","(0.16, -2.43)","(0.17, -2.48)"
"(0.2, -0.45)","(0.13, -2.5)","(0.17, -2.48)"
"(0.2, -0.45)","(0.12, -2.52)","(0.17, -2.48)"
"(0.2, -0.45)","(0.13, -2.49)","(0.17, -2.48)"
"(0.44, -0.67)","(0.12, -2.11)","(0.17, -2.15)"
